External Library Name, Link to License, License Name, Binaries using the license, URL
nlohmann_json, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/NOTICE, MIT, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/json/
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
hostapd, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev/NOTICE, BSD, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/wpa_supplicant_8/+/refs/heads/emu-master-dev
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
tinyobjloader, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master/LICENSE, MIT, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/tinyobjloader/+/refs/heads/master
Qt Gui, https://doc.qt.io/qt-6.5/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
Qt SvgWidgets, https://doc.qt.io/qt-6.5/qtSvgWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
abseil, https://android.googlesource.com/platform/external/abseil-cpp/+/refs/heads/emu-master-dev/LICENSE, Apache-2, abseil_dll.dylib, https://android.googlesource.com/platform/external/abseil-cpp/+/refs/heads/emu-master-dev
upb_json_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
gpr, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
qemu, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSE, GPL-2.0-only, ./qemu-img ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/LICENSE, BSD-2-Clause, android-emu-shared.dylib ./nimble_bridge ./qemu-img android-emu-agents.dylib ./emulator ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn android-emu-metrics.dylib gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check android-emu-curl.dylib ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
Qt Widgets, https://doc.qt.io/qt-6.5/qtWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel ./qemu/darwin-aarch64/qemu-system-armel-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
grpc++, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
glib-2.0, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/COPYING, LGPL-2.1-only, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib glib2_darwin-aarch64.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/bluetooth/glib/+/refs/heads/emu-master-dev/
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn android-emu-metrics.dylib gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./qsn ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
Netsim, https://android.googlesource.com/platform/tools/netsim/+/refs/heads/main/LICENSE, Apache-2.0, ./qsn ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, 
Qt 6, https://doc.qt.io/qt-6.5/licensing.html, LGPL-3.0-only, lib64/qt/libexec/qtwebengine_locales/hi.pak lib64/qt/translations/qtwebengine_locales/ko.pak lib64/qt/libexec/qtwebengine_locales/ar.pak lib64/qt/libexec/qtwebengine_locales/zh-TW.pak lib64/qt/translations/qtwebengine_locales/vi.pak lib64/qt/lib/libQt6NetworkAndroidEmu.6.5.3.dylib lib64/qt/translations/qtwebengine_locales/bn.pak lib64/qt/plugins/iconengines/libqsvgiconAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/th.pak lib64/qt/translations/qtwebengine_locales/ta.pak lib64/qt/libexec/qtwebengine_locales/es-419.pak lib64/qt/translations/qtwebengine_locales/sk.pak lib64/qt/plugins/styles/libqmacstyleAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/sk.pak lib64/qt/translations/qtwebengine_locales/ms.pak lib64/qt/libexec/qtwebengine_locales/gu.pak lib64/qt/plugins/imageformats/libqjpegAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/fa.pak lib64/qt/lib/libQt6QuickAndroidEmu.6.5.3.dylib lib64/qt/translations/qtwebengine_locales/zh-TW.pak lib64/qt/libexec/qtwebengine_locales/sw.pak lib64/qt/translations/qtwebengine_locales/mr.pak lib64/qt/libexec/qtwebengine_locales/ca.pak lib64/qt/translations/qtwebengine_locales/en-GB.pak lib64/qt/libexec/qtwebengine_locales/pl.pak lib64/qt/plugins/imageformats/libqtiffAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/uk.pak lib64/qt/translations/qtwebengine_locales/bg.pak lib64/qt/resources/qtwebengine_resources.pak ./emulator lib64/qt/lib/libQt6PositioningAndroidEmu.6.5.3.dylib lib64/qt/translations/qtwebengine_locales/he.pak lib64/qt/libexec/qtwebengine_locales/tr.pak lib64/qt/libexec/qtwebengine_locales/ta.pak lib64/qt/libexec/qtwebengine_locales/en-GB.pak lib64/qt/translations/qtwebengine_locales/am.pak lib64/qt/translations/qtwebengine_locales/hi.pak lib64/qt/libexec/qtwebengine_locales/ja.pak lib64/qt/plugins/imageformats/libqicnsAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/pt-BR.pak lib64/qt/libexec/qtwebengine_locales/bn.pak lib64/qt/libexec/qtwebengine_locales/en-US.pak lib64/qt/libexec/QtWebEngineProcess lib64/qt/libexec/qtwebengine_locales/mr.pak lib64/qt/translations/qtwebengine_locales/pt-BR.pak lib64/qt/lib/libQt6GuiAndroidEmu.6.5.3.dylib lib64/qt/translations/qtwebengine_locales/id.pak lib64/qt/lib/libQt6WebEngineWidgetsAndroidEmu.6.5.3.dylib lib64/qt/plugins/imageformats/libqgifAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/bg.pak lib64/qt/translations/qtwebengine_locales/tr.pak lib64/qt/resources/qtwebengine_devtools_resources.pak lib64/qt/plugins/platforms/libqcocoaAndroidEmu.dylib lib64/qt/translations/qtwebengine_locales/ca.pak lib64/qt/translations/qtwebengine_locales/de.pak lib64/qt/libexec/qtwebengine_locales/et.pak lib64/qt/lib/libQt6QmlModelsAndroidEmu.6.5.3.dylib lib64/qt/libexec/qtwebengine_locales/it.pak lib64/qt/translations/qtwebengine_locales/te.pak lib64/qt/plugins/imageformats/libqwbmpAndroidEmu.dylib lib64/qt/lib/libQt6QuickWidgetsAndroidEmu.6.5.3.dylib lib64/qt/plugins/imageformats/libqmacjp2AndroidEmu.dylib lib64/qt/translations/qtwebengine_locales/nl.pak lib64/qt/resources/qtwebengine_resources_200p.pak lib64/qt/libexec/qtwebengine_locales/sl.pak lib64/qt/plugins/imageformats/libqsvgAndroidEmu.dylib lib64/qt/translations/qtwebengine_locales/hr.pak lib64/qt/libexec/qtwebengine_locales/nb.pak lib64/qt/translations/qtwebengine_locales/ru.pak lib64/qt/libexec/qtwebengine_locales/lt.pak lib64/qt/libexec/qtwebengine_locales/sr.pak lib64/qt/lib/libQt6WebChannelAndroidEmu.6.5.3.dylib lib64/qt/libexec/qtwebengine_locales/ru.pak lib64/qt/libexec/qtwebengine_locales/ml.pak lib64/qt/libexec/qtwebengine_locales/sv.pak lib64/qt/libexec/qtwebengine_locales/zh-CN.pak lib64/qt/plugins/imageformats/libqwebpAndroidEmu.dylib lib64/qt/translations/qtwebengine_locales/fi.pak lib64/qt/translations/qtwebengine_locales/et.pak lib64/qt/libexec/qtwebengine_locales/fil.pak lib64/qt/translations/qtwebengine_locales/ja.pak lib64/qt/lib/libQt6WebEngineCoreAndroidEmu.6.5.3.dylib lib64/qt/libexec/qtwebengine_locales/nl.pak lib64/qt/libexec/qtwebengine_resources_200p.pak lib64/qt/libexec/qtwebengine_locales/te.pak lib64/qt/translations/qtwebengine_locales/sv.pak lib64/qt/translations/qtwebengine_locales/uk.pak lib64/qt/libexec/qtwebengine_locales/fr.pak lib64/qt/translations/qtwebengine_locales/lv.pak lib64/qt/libexec/icudtl.dat lib64/qt/lib/libQt6DBusAndroidEmu.6.5.3.dylib lib64/qt/libexec/qtwebengine_locales/lv.pak lib64/qt/lib/libQt6SvgAndroidEmu.6.5.3.dylib lib64/qt/translations/qtwebengine_locales/it.pak lib64/qt/libexec/qtwebengine_locales/da.pak lib64/qt/translations/qtwebengine_locales/th.pak lib64/qt/libexec/qtwebengine_locales/ms.pak lib64/qt/translations/qtwebengine_locales/pl.pak lib64/qt/libexec/qtwebengine_locales/hr.pak lib64/qt/plugins/imageformats/libqicoAndroidEmu.dylib lib64/qt/lib/libQt6SvgWidgetsAndroidEmu.6.5.3.dylib lib64/qt/plugins/imageformats/libqmacheifAndroidEmu.dylib lib64/qt/translations/qtwebengine_locales/el.pak lib64/qt/libexec/qtwebengine_locales/id.pak lib64/qt/libexec/qtwebengine_locales/kn.pak lib64/qt/lib/libQt6WidgetsAndroidEmu.6.5.3.dylib lib64/qt/libexec/qtwebengine_locales/he.pak lib64/qt/translations/qtwebengine_locales/ro.pak lib64/qt/translations/qtwebengine_locales/ar.pak lib64/qt/libexec/qtwebengine_locales/ro.pak lib64/qt/translations/qtwebengine_locales/sr.pak lib64/qt/translations/qtwebengine_locales/ml.pak lib64/qt/translations/qtwebengine_locales/nb.pak lib64/qt/translations/qtwebengine_locales/pt-PT.pak lib64/qt/translations/qtwebengine_locales/sw.pak lib64/qt/libexec/qtwebengine_locales/el.pak lib64/qt/translations/qtwebengine_locales/en-US.pak lib64/qt/lib/libQt6WebSocketsAndroidEmu.6.5.3.dylib lib64/qt/translations/qtwebengine_locales/cs.pak lib64/qt/translations/qtwebengine_locales/fil.pak lib64/qt/translations/qtwebengine_locales/sl.pak lib64/qt/translations/qtwebengine_locales/es.pak lib64/qt/libexec/qtwebengine_locales/fi.pak lib64/qt/resources/icudtl.dat lib64/qt/libexec/qtwebengine_locales/de.pak lib64/qt/plugins/imageformats/libqtgaAndroidEmu.dylib lib64/qt/translations/qtwebengine_locales/es-419.pak lib64/qt/libexec/qtwebengine_locales/es.pak lib64/qt/translations/qtwebengine_locales/kn.pak lib64/qt/libexec/qtwebengine_locales/am.pak lib64/qt/libexec/qtwebengine_locales/ko.pak lib64/qt/translations/qtwebengine_locales/fa.pak lib64/qt/translations/qtwebengine_locales/fr.pak lib64/qt/translations/qtwebengine_locales/lt.pak lib64/qt/libexec/qtwebengine_locales/vi.pak lib64/qt/translations/qtwebengine_locales/gu.pak lib64/qt/translations/qtwebengine_locales/hu.pak lib64/qt/libexec/qtwebengine_devtools_resources.pak lib64/qt/resources/qtwebengine_resources_100p.pak lib64/qt/libexec/qtwebengine_locales/cs.pak lib64/qt/translations/qtwebengine_locales/zh-CN.pak lib64/qt/libexec/qtwebengine_locales/hu.pak lib64/qt/lib/libQt6QmlAndroidEmu.6.5.3.dylib lib64/qt/translations/qtwebengine_locales/da.pak lib64/qt/libexec/qtwebengine_locales/pt-PT.pak lib64/qt/libexec/qtwebengine_resources.pak lib64/qt/lib/libQt6CoreAndroidEmu.6.5.3.dylib lib64/qt/libexec/qtwebengine_resources_100p.pak, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
boringssl, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master/NOTICE, OpenSSL, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./emulator ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn android-emu-metrics.dylib gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check android-emu-curl.dylib ./crashreport ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/boringssl/+/refs/heads/master
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/LICENSE.md, MIT, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
upb_textformat_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, android-emu-shared.dylib ./nimble_bridge ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn gfxstream_backend.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
